city,language,variant_count,urls,avg_place_overlap_pct,avg_theme_overlap_pct,judgment
Seoul,en,5,"/destinations/South%20Korea/Seoul/seoul-couple-3days-en (couple-3d, views=43) | /destinations/South%20Korea/Seoul/seoul-solo-3days-en (solo-3d, views=57) | /destinations/South%20Korea/Seoul/seoul-family-4days-en (family-4d, views=66) | /destinations/South%20Korea/Seoul/seoul-kpop-3days-en (friends-3d, views=47) | /destinations/South%20Korea/Seoul/seoul-friends-4days-en (friends-4d, views=58)",10.6,11.0,차별화충분
Busan,en,2,"/destinations/South%20Korea/Busan/busan-couple-3days-en (couple-3d, views=34) | /destinations/South%20Korea/Busan/busan-friends-3days-en (friends-3d, views=40)",9.1,0.0,차별화충분
Paris,en,1,/destinations/Paris/paris-couple-4days-en,,,N/A (단일 버전)
Barcelona,en,1,/destinations/Barcelona/barcelona-friends-3days-en,,,N/A (단일 버전)
Bangkok,en,1,/destinations/Bangkok/bangkok-solo-3days-en,,,N/A (단일 버전)
New York,en,1,/destinations/New York/new-york-friends-4days-en,,,N/A (단일 버전)
Jeju,en,2,"/destinations/South%20Korea/Jeju/jeju-couple-3days-en (couple-3d, views=39) | /destinations/South%20Korea/Jeju/jeju-family-4days-en (family-4d, views=72)",13.9,0.0,차별화충분
Bali,en,1,/destinations/Bali/bali-friends-5days-en,,,N/A (단일 버전)
Gyeongju,en,1,/destinations/Gyeongju/gyeongju-history-2days-en,,,N/A (단일 버전)
Jeonju,en,1,/destinations/Jeonju/jeonju-food-2days-en,,,N/A (단일 버전)
Tokyo,en,1,/destinations/Tokyo/tokyo-solo-3days-en,,,N/A (단일 버전)
